,raw_time,raw_win_pct,clean_time,NYG_win_pct
0,14:55 - 1st),DAL 67.2%,5,32.8
1,14:25 - 1st),DAL 67.4%,35,32.599999999999994
2,13:45 - 1st),DAL 68.2%,75,31.799999999999997
3,13:06 - 1st),DAL 66.4%,114,33.599999999999994
4,12:38 - 1st),DAL 70.0%,142,30.0
5,12:09 - 1st),DAL 70.3%,171,29.700000000000003
6,11:27 - 1st),DAL 68.2%,213,31.799999999999997
7,11:22 - 1st),DAL 62.6%,218,37.4
8,11:16 - 1st),DAL 77.0%,224,23.0
9,11:07 - 1st),DAL 65.7%,233,34.3
10,10:31 - 1st),DAL 65.6%,269,34.400000000000006
11,10:06 - 1st),DAL 70.2%,294,29.799999999999997
12,9:30 - 1st) ,DAL 61.3%,330,38.7
13,9:23 - 1st) ,DAL 68.6%,337,31.400000000000006
14,8:42 - 1st) ,DAL 66.5%,378,33.5
15,8:37 - 1st) ,DAL 68.6%,383,31.400000000000006
16,8:03 - 1st) ,DAL 69.8%,417,30.200000000000003
17,7:18 - 1st) ,DAL 75.3%,462,24.700000000000003
18,6:46 - 1st) ,DAL 76.9%,494,23.099999999999994
19,6:35 - 1st) ,DAL 76.9%,505,23.099999999999994
20,6:25 - 1st) ,DAL 67.5%,515,32.5
21,5:45 - 1st) ,DAL 69.2%,555,30.799999999999997
22,5:39 - 1st) ,DAL 72.8%,561,27.200000000000003
23,5:31 - 1st) ,DAL 72.6%,569,27.400000000000006
24,5:23 - 1st) ,DAL 70.6%,577,29.400000000000006
25,4:49 - 1st) ,DAL 74.1%,611,25.900000000000006
26,4:11 - 1st) ,DAL 71.1%,649,28.900000000000006
27,4:06 - 1st) ,DAL 74.3%,654,25.700000000000003
28,3:26 - 1st) ,DAL 75.3%,694,24.700000000000003
29,2:52 - 1st) ,DAL 77.0%,728,23.0
30,2:15 - 1st) ,DAL 77.0%,765,23.0
31,1:32 - 1st) ,DAL 74.6%,808,25.400000000000006
32,1:26 - 1st) ,DAL 72.4%,814,27.599999999999994
33,0:44 - 1st) ,DAL 78.9%,856,21.099999999999994
34,15:00 - 2nd),DAL 73.7%,900,26.299999999999997
35,14:16 - 2nd),DAL 69.7%,944,30.299999999999997
36,14:11 - 2nd),DAL 72.2%,949,27.799999999999997
37,13:28 - 2nd),DAL 71.4%,992,28.599999999999994
38,12:45 - 2nd),DAL 85.5%,1035,14.5
39,12:37 - 2nd),DAL 76.5%,1043,23.5
40,11:57 - 2nd),DAL 73.0%,1083,27.0
41,11:28 - 2nd),DAL 82.9%,1112,17.099999999999994
42,10:51 - 2nd),DAL 74.6%,1149,25.400000000000006
43,10:09 - 2nd),DAL 78.0%,1191,22.0
44,9:34 - 2nd) ,DAL 77.0%,1226,23.0
45,9:27 - 2nd) ,DAL 74.4%,1233,25.599999999999994
46,9:22 - 2nd) ,DAL 74.6%,1238,25.400000000000006
47,8:38 - 2nd) ,DAL 80.2%,1282,19.799999999999997
48,8:11 - 2nd) ,DAL 79.6%,1309,20.400000000000006
49,7:35 - 2nd) ,DAL 79.7%,1345,20.299999999999997
50,6:56 - 2nd) ,DAL 74.3%,1384,25.700000000000003
51,6:52 - 2nd) ,DAL 75.3%,1388,24.700000000000003
52,6:44 - 2nd) ,DAL 73.3%,1396,26.700000000000003
53,6:04 - 2nd) ,DAL 77.0%,1436,23.0
54,5:38 - 2nd) ,DAL 78.1%,1462,21.900000000000006
55,5:01 - 2nd) ,DAL 77.9%,1499,22.099999999999994
56,3:48 - 2nd) ,DAL 79.1%,1572,20.900000000000006
57,3:09 - 2nd) ,DAL 71.6%,1611,28.400000000000006
58,2:40 - 2nd) ,DAL 81.5%,1640,18.5
59,2:03 - 2nd) ,DAL 81.7%,1677,18.299999999999997
60,1:56 - 2nd) ,DAL 85.3%,1684,14.700000000000003
61,1:51 - 2nd) ,DAL 84.9%,1689,15.099999999999994
