,raw_time,raw_win_pct,clean_time,NE_win_pct
0,14:21 - 1st),NE 50.1%,39,50.1
1,13:45 - 1st),NE 52.1%,75,52.1
2,13:27 - 1st),NE 51.8%,93,51.8
3,13:21 - 1st),PIT 51.4%,99,48.6
4,12:42 - 1st),NE 52.3%,138,52.3
5,12:04 - 1st),NE 50.8%,176,50.8
6,11:29 - 1st),NE 52.4%,211,52.4
7,10:45 - 1st),NE 55.5%,255,55.5
8,10:12 - 1st),NE 58.3%,288,58.3
9,9:30 - 1st) ,NE 57.7%,330,57.7
10,8:57 - 1st) ,NE 61.2%,363,61.2
11,8:14 - 1st) ,NE 58.9%,406,58.9
12,7:34 - 1st) ,NE 57.5%,446,57.5
13,7:30 - 1st) ,NE 55.7%,450,55.7
14,6:42 - 1st) ,NE 58.0%,498,58.0
15,6:05 - 1st) ,NE 56.8%,535,56.8
16,5:20 - 1st) ,NE 54.9%,580,54.9
17,5:09 - 1st) ,NE 52.6%,591,52.6
18,4:29 - 1st) ,NE 53.2%,631,53.2
19,3:50 - 1st) ,NE 51.1%,670,51.1
20,3:14 - 1st) ,NE 56.2%,706,56.2
21,2:25 - 1st) ,NE 52.0%,755,52.0
22,1:38 - 1st) ,NE 60.3%,802,60.3
