,raw_time,raw_win_pct,clean_time,ATL_win_pct
0,14:22 - 1st),LAR 82.9%,38,17.099999999999994
1,13:45 - 1st),LAR 83.2%,75,16.799999999999997
2,13:02 - 1st),LAR 80.0%,118,20.0
3,12:20 - 1st),LAR 80.8%,160,19.200000000000003
4,12:14 - 1st),LAR 81.5%,166,18.5
5,11:32 - 1st),LAR 77.8%,208,22.200000000000003
6,10:43 - 1st),LAR 78.6%,257,21.400000000000006
7,10:03 - 1st),LAR 75.1%,297,24.900000000000006
8,9:21 - 1st) ,LAR 78.0%,339,22.0
9,8:39 - 1st) ,LAR 77.1%,381,22.900000000000006
10,8:07 - 1st) ,LAR 77.2%,413,22.799999999999997
11,7:40 - 1st) ,LAR 79.1%,440,20.900000000000006
12,6:54 - 1st) ,LAR 83.7%,486,16.299999999999997
13,6:29 - 1st) ,LAR 84.8%,511,15.200000000000003
14,6:04 - 1st) ,LAR 83.6%,536,16.400000000000006
15,5:28 - 1st) ,LAR 85.4%,572,14.599999999999994
16,4:48 - 1st) ,LAR 84.5%,612,15.5
17,4:04 - 1st) ,LAR 87.6%,656,12.400000000000006
18,3:17 - 1st) ,LAR 85.8%,703,14.200000000000003
19,2:33 - 1st) ,LAR 84.7%,747,15.299999999999997
20,1:44 - 1st) ,LAR 89.3%,796,10.700000000000003
21,1:40 - 1st) ,LAR 90.0%,800,10.0
22,0:46 - 1st) ,LAR 87.9%,854,12.099999999999994
23,0:14 - 1st) ,LAR 88.1%,886,11.900000000000006
24,15:00 - 2nd),LAR 89.3%,900,10.700000000000003
25,14:17 - 2nd),LAR 90.9%,943,9.099999999999994
26,14:11 - 2nd),LAR 90.3%,949,9.700000000000003
27,13:33 - 2nd),LAR 91.7%,987,8.299999999999997
28,12:48 - 2nd),LAR 91.4%,1032,8.599999999999994
29,12:17 - 2nd),LAR 92.5%,1063,7.5
30,11:38 - 2nd),LAR 92.6%,1102,7.400000000000006
31,10:58 - 2nd),LAR 91.7%,1142,8.299999999999997
32,10:13 - 2nd),LAR 93.3%,1187,6.700000000000003
